Title,Budget,ID,Original Language,Popularity,Release Date,Revenue,Runtime,Vote Average,Vote Count
Kill Bill: Vol. 2,30000000,393,en,21.533072,16/04/2004,152159461,136,7.7,4061
The Punisher,33000000,7220,en,18.250919,15/04/2004,54700105,124,6.1,786
13 Going on 30,37000000,10096,en,12.632595,13/04/2004,96455697,98,6.3,1260
Collateral,65000000,1538,en,13.455112,08/04/2004,217764291,120,7,1476
Moolaad??,0,39504,bm,0.759538,08/04/2004,214605,124,5.9,16
Before the Fall,4500000,9393,de,5.69684,07/04/2004,3764219,117,7.3,74
FBI: Frikis buscan incordiar,0,131932,es,0.044048,06/04/2004,928391,85,2,1
In My Country,12000000,16635,en,1.14196,05/04/2004,163536,103,7.1,7
Laws of Attraction,28000000,11141,en,5.739139,04/04/2004,30016165,90,5.6,104
Czech Dream,0,33916,cs,0.919556,30/03/2004,17393,90,6.8,10
Never Die Alone,3000000,20304,en,6.212433,26/03/2004,5923000,88,5.7,34
Jersey Girl,35000000,9541,en,5.706507,25/03/2004,36098382,102,5.8,333
Scooby-Doo 2: Monsters Unleashed,0,11024,en,7.65458,24/03/2004,181466833,93,5.4,519
Dawn of the Dead,28000000,924,en,13.157873,19/03/2004,102356381,101,6.8,1039
Eternal Sunshine of the Spotless Mind,20000000,38,en,12.906327,19/03/2004,72258126,108,7.9,3758
Taking Lives,45000000,11081,en,7.85646,19/03/2004,65470529,103,6,356
Bad Education,5000000,140,es,7.66414,19/03/2004,40266982,106,7.1,223
El asombroso mundo de Borjamari y Pocholo,0,135696,es,0.793589,12/03/2004,3367646,90,5.4,5
The Cookout,16000000,18475,en,1.758079,09/03/2004,12,97,4.6,10
Paparazzi,20000000,15644,en,12.553403,09/03/2004,16605763,84,5.8,52
Wicker Park,30000000,11208,en,5.605652,09/03/2004,13001257,114,6.7,159
Stage Beauty,0,26108,en,3.127483,09/03/2004,776691,106,7,34
The Sea Inside,12806000,1913,es,14.69768,09/03/2004,38535221,125,7.2,224
Windstruck,0,10103,ko,1.896423,06/03/2004,5331377,123,7.2,33
Club Dread,8500000,11217,en,6.57613,27/02/2004,5001655,104,5.1,107
Dirty Dancing: Havana Nights,25000000,10677,en,4.475359,27/02/2004,27685016,86,6,154
Twisted,50000000,13572,en,5.376246,27/02/2004,25195000,97,5.3,127
The Passion of the Christ,30000000,615,en,13.194168,25/02/2004,611899420,127,6.9,888
Welcome to Mooseport,30000000,16784,en,3.832792,24/02/2004,14000000,110,4.8,54
Against the Ropes,39000000,8842,en,1.381022,20/02/2004,6614280,106,4.5,32
EuroTrip,25000000,9352,en,6.275468,20/02/2004,20796847,93,6.5,673
Confessions of a Teenage Drama Queen,15000000,11132,en,7.423275,17/02/2004,29331068,89,5.1,228
